id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description	has_time_series_data
tag:sennetconsortium.org,2025:	SNT835.DFZG.866	https://doi.org/10.35079/SNT835.DFZG.866	2024-07-01 15:45:34.398		SNT835.DFZG.866	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT545.XJWN.677	https://doi.org/10.35079/SNT545.XJWN.677	2024-07-01 15:46:27.446		SNT545.XJWN.677	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT867.HVGZ.845	https://doi.org/10.35079/SNT867.HVGZ.845	2024-07-01 15:45:11.796		SNT867.HVGZ.845	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT829.GZCT.964	https://doi.org/10.35079/SNT829.GZCT.964	2024-07-01 15:46:04.635		SNT829.GZCT.964	LC-MS data from the lung (left) of a 55.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT544.XRSW.542	https://doi.org/10.35079/SNT544.XRSW.542	2024-09-25 15:23:20.652		SNT544.XRSW.542	Histology data from the lung (right) of a 4.45-year-old black or african american male	
tag:sennetconsortium.org,2025:	SNT966.JQMS.623	https://doi.org/10.35079/SNT966.JQMS.623	2024-04-17 19:21:47.229		SNT966.JQMS.623	LC-MS data from the lung (right) of a 50.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT534.GMDQ.273	https://doi.org/10.35079/SNT534.GMDQ.273	2024-11-06 16:35:26.238		SNT534.GMDQ.273	RNAseq data from the ovary (left) of a 64.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT964.GZWC.654	https://doi.org/10.35079/SNT964.GZWC.654	2024-04-18 13:49:13.036		SNT964.GZWC.654	RNAseq data from the lung (right) of a 64.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT695.QNPB.733	https://doi.org/10.35079/SNT695.QNPB.733	2024-06-12 14:58:09.067		SNT695.QNPB.733	Histology data from the lung (right) of a 58.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT266.VRJH.483	https://doi.org/10.35079/SNT266.VRJH.483	2024-07-22 20:56:35.835		SNT266.VRJH.483	Histology data from the heart of a 31.0-year-old black or african american female	
tag:sennetconsortium.org,2025:	SNT448.TDKJ.737	https://doi.org/10.35079/SNT448.TDKJ.737	2024-07-22 20:59:00.417		SNT448.TDKJ.737	Histology data from the heart of a 32.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT277.NKKT.537	https://doi.org/10.35079/SNT277.NKKT.537	2024-11-06 16:36:26.028		SNT277.NKKT.537	RNAseq data from the ovary (right) of a 61.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT634.PFZT.882	https://doi.org/10.35079/SNT634.PFZT.882	2024-11-06 16:36:08.895		SNT634.PFZT.882	RNAseq data from the ovary (right) of a 61.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT692.JDSZ.637	https://doi.org/10.35079/SNT692.JDSZ.637	2024-07-01 15:51:14.279		SNT692.JDSZ.637	LC-MS data from the lung (right) of a 72.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT926.MKNW.795	https://doi.org/10.35079/SNT926.MKNW.795	2024-08-21 14:24:05.713		SNT926.MKNW.795	RNAseq data from the muscle of a C57BL/6 male mouse	
tag:sennetconsortium.org,2025:	SNT279.NDST.973	https://doi.org/10.35079/SNT279.NDST.973	2024-07-01 15:49:58.010		SNT279.NDST.973	LC-MS data from the lung (right) of a 72.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT274.DCNW.758	https://doi.org/10.35079/SNT274.DCNW.758	2024-09-17 19:04:06.822		SNT274.DCNW.758	LC-MS data from the skin of a FVB.Tg(Col1a2-cre/ERT2);FVB.(Rosa)26Sor<LSL-Cdkn1b,-eGFP> male mouse	
tag:sennetconsortium.org,2025:	SNT243.BBKW.694	https://doi.org/10.35079/SNT243.BBKW.694	2024-07-22 20:56:03.416		SNT243.BBKW.694	Histology data from the heart of a 55-year-old white male	
tag:sennetconsortium.org,2025:	SNT275.PLDV.229	https://doi.org/10.35079/SNT275.PLDV.229	2024-09-03 22:30:14.597		SNT275.PLDV.229	RNAseq data from the adipose tissue of a C57Bl/6 male mouse	
tag:sennetconsortium.org,2025:	SNT267.KNSN.488	https://doi.org/10.35079/SNT267.KNSN.488	2024-08-21 14:23:49.299		SNT267.KNSN.488	RNAseq data from the muscle of a C57BL/6 male mouse	
tag:sennetconsortium.org,2025:	SNT922.QZCV.955	https://doi.org/10.35079/SNT922.QZCV.955	2024-08-21 14:28:56.563		SNT922.QZCV.955	RNAseq data from the muscle of a C57BL/6J male mouse	
tag:sennetconsortium.org,2025:	SNT482.WNCQ.642	https://doi.org/10.35079/SNT482.WNCQ.642	2024-09-17 19:05:14.296		SNT482.WNCQ.642	LC-MS data from the skin of a FVB.Tg(Col1a2-cre/ERT2);FVB.(Rosa)26Sor<LSL-Cdkn1b,-eGFP> male mouse	
tag:sennetconsortium.org,2025:	SNT323.HSMW.673	https://doi.org/10.35079/SNT323.HSMW.673	2024-07-01 15:49:09.014		SNT323.HSMW.673	LC-MS data from the lung (right) of a 72.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT755.XSZX.249	https://doi.org/10.35079/SNT755.XSZX.249	2024-09-17 19:03:21.542		SNT755.XSZX.249	LC-MS data from the skin of a FVB.Tg(Col1a2-cre/ERT2);FVB.(Rosa)26Sor<LSL-Cdkn1b,-eGFP> male mouse	
tag:sennetconsortium.org,2025:	SNT672.MZGL.243	https://doi.org/10.35079/SNT672.MZGL.243	2024-11-15 15:57:32.149		SNT672.MZGL.243	Visium (no probes) data from the brain of a 50.0-year-old unknown male	
tag:sennetconsortium.org,2025:	SNT394.VCPD.746	https://doi.org/10.35079/SNT394.VCPD.746	2024-07-01 15:47:30.687		SNT394.VCPD.746	LC-MS data from the lung (right) of a 72.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT229.LZTF.634	https://doi.org/10.35079/SNT229.LZTF.634	2024-08-21 14:24:46.569		SNT229.LZTF.634	RNAseq data from the muscle of a C57BL/6 male mouse	
tag:sennetconsortium.org,2025:	SNT358.DVLF.937	https://doi.org/10.35079/SNT358.DVLF.937	2024-04-17 19:22:08.379		SNT358.DVLF.937	LC-MS data from the lung (right) of a 0-year-old white male	
tag:sennetconsortium.org,2025:	SNT822.FVTV.458	https://doi.org/10.35079/SNT822.FVTV.458	2024-09-17 19:03:06.738		SNT822.FVTV.458	LC-MS data from the skin of a FVB.Tg(Col1a2-cre/ERT2);FVB.(Rosa)26Sor<LSL-Cdkn1b,-eGFP> male mouse	
tag:sennetconsortium.org,2025:	SNT444.SGBG.294	https://doi.org/10.35079/SNT444.SGBG.294	2024-07-01 15:47:56.225		SNT444.SGBG.294	LC-MS data from the lung (right) of a 72.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT897.CBCB.686	https://doi.org/10.35079/SNT897.CBCB.686	2024-04-17 20:49:31.565		SNT897.CBCB.686	LC-MS data from the ovary (left) of a 58.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT322.TWBQ.258	https://doi.org/10.35079/SNT322.TWBQ.258	2024-04-17 20:49:18.182		SNT322.TWBQ.258	LC-MS data from the ovary (left) of a 58.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT296.DCZW.249	https://doi.org/10.35079/SNT296.DCZW.249	2024-04-17 20:49:04.852		SNT296.DCZW.249	LC-MS data from the ovary (left) of a 58.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT277.TFLW.547	https://doi.org/10.35079/SNT277.TFLW.547	2024-04-17 20:48:47.466		SNT277.TFLW.547	LC-MS data from the ovary (left) of a 58.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT737.NWFN.462	https://doi.org/10.35079/SNT737.NWFN.462	2024-08-14 14:06:42.122		SNT737.NWFN.462	10x Multiome data from the liver of a 61.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT628.QZKN.949	https://doi.org/10.35079/SNT628.QZKN.949	2024-04-17 19:22:17.561		SNT628.QZKN.949	LC-MS data from the lung (right) of a 39.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT799.NGLJ.796	https://doi.org/10.35079/SNT799.NGLJ.796	2024-11-06 16:36:42.565		SNT799.NGLJ.796	RNAseq data from the ovary (left) of a 54.0-year-old unknown female	
tag:sennetconsortium.org,2025:	SNT757.JPRL.888	https://doi.org/10.35079/SNT757.JPRL.888	2024-11-06 16:37:08.121		SNT757.JPRL.888	RNAseq data from the ovary (left) of a 54.0-year-old unknown female	
tag:sennetconsortium.org,2025:	SNT757.RMZB.249	https://doi.org/10.35079/SNT757.RMZB.249	2024-04-22 15:09:10.456		SNT757.RMZB.249	Histology data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT885.JWCH.783	https://doi.org/10.35079/SNT885.JWCH.783	2024-04-22 15:09:48.956		SNT885.JWCH.783	Histology data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT848.KRGK.885	https://doi.org/10.35079/SNT848.KRGK.885	2024-07-23 13:22:25.556		SNT848.KRGK.885	RNAseq data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT525.CHTV.366	https://doi.org/10.35079/SNT525.CHTV.366	2024-07-23 13:23:07.055		SNT525.CHTV.366	RNAseq data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT277.JPFL.568	https://doi.org/10.35079/SNT277.JPFL.568	2024-07-23 13:22:42.919		SNT277.JPFL.568	RNAseq data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT786.LFML.333	https://doi.org/10.35079/SNT786.LFML.333	2024-07-23 13:22:58.659		SNT786.LFML.333	RNAseq data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT983.MPXV.632	https://doi.org/10.35079/SNT983.MPXV.632	2024-04-22 15:08:59.215		SNT983.MPXV.632	Histology data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT992.GDXK.479	https://doi.org/10.35079/SNT992.GDXK.479	2024-04-22 15:08:19.237		SNT992.GDXK.479	Histology data from the lung (right) of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT688.DQDV.693	https://doi.org/10.35079/SNT688.DQDV.693	2024-04-22 15:07:40.163		SNT688.DQDV.693	Histology data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT775.QHBB.862	https://doi.org/10.35079/SNT775.QHBB.862	2024-07-23 13:25:43.328		SNT775.QHBB.862	RNAseq data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT879.GRCC.873	https://doi.org/10.35079/SNT879.GRCC.873	2024-07-23 13:26:22.200		SNT879.GRCC.873	RNAseq data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT934.FGBH.579	https://doi.org/10.35079/SNT934.FGBH.579	2024-07-23 13:26:29.957		SNT934.FGBH.579	RNAseq data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT743.BCHX.766	https://doi.org/10.35079/SNT743.BCHX.766	2024-04-22 15:06:47.651		SNT743.BCHX.766	Histology data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT972.SGHH.824	https://doi.org/10.35079/SNT972.SGHH.824	2024-04-22 15:06:39.427		SNT972.SGHH.824	Histology data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT574.SDFM.928	https://doi.org/10.35079/SNT574.SDFM.928	2024-07-23 13:27:49.750		SNT574.SDFM.928	RNAseq data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT437.PNQC.678	https://doi.org/10.35079/SNT437.PNQC.678	2024-07-23 13:28:06.238		SNT437.PNQC.678	RNAseq data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT827.MMGF.878	https://doi.org/10.35079/SNT827.MMGF.878	2024-04-22 15:10:41.803		SNT827.MMGF.878	Histology data from the heart of a 62.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT827.XHZL.452	https://doi.org/10.35079/SNT827.XHZL.452	2024-07-22 20:57:07.840		SNT827.XHZL.452	Histology data from the heart of a 59.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT766.GFFX.948	https://doi.org/10.35079/SNT766.GFFX.948	2024-03-07 20:21:19.327		SNT766.GFFX.948	Histology data from the pancreas of a 35.0-year-old white male	
tag:sennetconsortium.org,2025:	SNT395.LVDS.425	https://doi.org/10.35079/SNT395.LVDS.425	2024-03-07 20:29:28.984		SNT395.LVDS.425	Histology data from the pancreas of a 54.0-year-old unknown male	
tag:sennetconsortium.org,2025:	SNT625.VQSS.859	https://doi.org/10.35079/SNT625.VQSS.859	2024-03-07 20:23:50.940		SNT625.VQSS.859	Histology data from the pancreas of a 23.0-year-old unknown female	
tag:sennetconsortium.org,2025:	SNT544.KJLV.377	https://doi.org/10.35079/SNT544.KJLV.377	2024-03-26 20:45:38.342		SNT544.KJLV.377	Histology data from the pancreas of a 43.0-year-old unknown male	
tag:sennetconsortium.org,2025:	SNT939.XDFZ.749	https://doi.org/10.35079/SNT939.XDFZ.749	2024-07-18 16:55:39.240		SNT939.XDFZ.749	Histology data from the pancreas of a 23.0-year-old unknown female	
tag:sennetconsortium.org,2025:	SNT926.NMSL.653	https://doi.org/10.35079/SNT926.NMSL.653	2024-03-26 20:35:56.853		SNT926.NMSL.653	Histology data from the pancreas of a 54.0-year-old unknown male	
tag:sennetconsortium.org,2025:	SNT636.HJCF.889	https://doi.org/10.35079/SNT636.HJCF.889	2024-03-07 20:28:07.480		SNT636.HJCF.889	Histology data from the pancreas of a 40.0-year-old unknown female	
tag:sennetconsortium.org,2025:	SNT536.HKNV.432	https://doi.org/10.35079/SNT536.HKNV.432	2024-03-07 20:29:24.157		SNT536.HKNV.432	Histology data from the pancreas of a 71.0-year-old white female	
tag:sennetconsortium.org,2025:	SNT365.KKWS.739	https://doi.org/10.35079/SNT365.KKWS.739	2024-03-07 20:28:11.584		SNT365.KKWS.739	Histology data from the pancreas of a 39.0-year-old white male	
